fund,publishAt,positive,negative
野村2025目標到期新興市場債券基金,2021-08-28,11,2
野村2025目標到期新興市場債券基金,2021-09-28,11,4
野村2025目標到期新興市場債券基金,2021-10-02,2,0
野村2025目標到期新興市場債券基金,2021-10-05,4,1
野村2025目標到期新興市場債券基金,2021-11-01,9,0
野村2025目標到期新興市場債券基金,2021-12-13,1,0
野村2025目標到期新興市場債券基金,2021-12-21,13,0
野村2025目標到期新興市場債券基金,2022-01-06,19,11
野村2025目標到期新興市場債券基金,2022-01-28,1,0
野村e科技證券投資信託基金,2021-08-19,15,30
野村e科技證券投資信託基金,2021-08-20,44,10
野村e科技證券投資信託基金,2021-08-21,20,1
野村e科技證券投資信託基金,2021-08-22,18,5
野村e科技證券投資信託基金,2021-08-23,92,29
野村e科技證券投資信託基金,2021-08-24,100,40
野村e科技證券投資信託基金,2021-08-25,122,26
野村e科技證券投資信託基金,2021-08-26,159,60
野村e科技證券投資信託基金,2021-08-27,101,25
野村e科技證券投資信託基金,2021-08-28,8,0
野村e科技證券投資信託基金,2021-08-29,43,13
野村e科技證券投資信託基金,2021-08-30,83,53
野村e科技證券投資信託基金,2021-08-31,113,17
野村e科技證券投資信託基金,2021-09-01,146,59
野村e科技證券投資信託基金,2021-09-02,127,55
野村e科技證券投資信託基金,2021-09-03,102,56
野村e科技證券投資信託基金,2021-09-04,45,0
野村e科技證券投資信託基金,2021-09-05,21,8
野村e科技證券投資信託基金,2021-09-06,91,70
野村e科技證券投資信託基金,2021-09-07,138,75
野村e科技證券投資信託基金,2021-09-08,147,91
野村e科技證券投資信託基金,2021-09-09,84,19
野村e科技證券投資信託基金,2021-09-10,70,8
野村e科技證券投資信託基金,2021-09-11,36,4
野村e科技證券投資信託基金,2021-09-12,14,2
野村e科技證券投資信託基金,2021-09-13,83,18
野村e科技證券投資信託基金,2021-09-14,118,31
野村e科技證券投資信託基金,2021-09-15,100,105
野村e科技證券投資信託基金,2021-09-16,124,33
野村e科技證券投資信託基金,2021-09-17,97,58
野村e科技證券投資信託基金,2021-09-18,5,2
野村e科技證券投資信託基金,2021-09-19,34,8
野村e科技證券投資信託基金,2021-09-20,34,12
野村e科技證券投資信託基金,2021-09-21,7,1
野村e科技證券投資信託基金,2021-09-22,102,73
野村e科技證券投資信託基金,2021-09-23,103,42
野村e科技證券投資信託基金,2021-09-24,53,7
野村e科技證券投資信託基金,2021-09-25,12,15
野村e科技證券投資信託基金,2021-09-26,23,10
野村e科技證券投資信託基金,2021-09-27,152,40
野村e科技證券投資信託基金,2021-09-28,95,40
野村e科技證券投資信託基金,2021-09-29,104,29
野村e科技證券投資信託基金,2021-09-30,145,39
野村e科技證券投資信託基金,2021-10-01,104,43
野村e科技證券投資信託基金,2021-10-02,0,1
野村e科技證券投資信託基金,2021-10-03,9,1
野村e科技證券投資信託基金,2021-10-04,217,68
野村e科技證券投資信託基金,2021-10-05,94,28
野村e科技證券投資信託基金,2021-10-06,60,60
野村e科技證券投資信託基金,2021-10-07,86,46
野村e科技證券投資信託基金,2021-10-08,102,52
野村e科技證券投資信託基金,2021-10-09,26,29
野村e科技證券投資信託基金,2021-10-10,1,0
野村e科技證券投資信託基金,2021-10-11,30,18
野村e科技證券投資信託基金,2021-10-12,136,28
野村e科技證券投資信託基金,2021-10-13,65,46
野村e科技證券投資信託基金,2021-10-14,145,61
野村e科技證券投資信託基金,2021-10-15,145,67
野村e科技證券投資信託基金,2021-10-16,10,4
野村e科技證券投資信託基金,2021-10-17,43,3
野村e科技證券投資信託基金,2021-10-18,87,31
野村e科技證券投資信託基金,2021-10-19,144,40
野村e科技證券投資信託基金,2021-10-20,70,10
野村e科技證券投資信託基金,2021-10-21,98,33
野村e科技證券投資信託基金,2021-10-22,118,42
野村e科技證券投資信託基金,2021-10-24,31,6
野村e科技證券投資信託基金,2021-10-25,115,59
野村e科技證券投資信託基金,2021-10-26,108,83
野村e科技證券投資信託基金,2021-10-27,78,39
野村e科技證券投資信託基金,2021-10-28,99,24
野村e科技證券投資信託基金,2021-10-29,78,10
野村e科技證券投資信託基金,2021-10-30,1,0
野村e科技證券投資信託基金,2021-10-31,3,3
野村e科技證券投資信託基金,2021-11-01,104,66
野村e科技證券投資信託基金,2021-11-02,93,84
野村e科技證券投資信託基金,2021-11-03,115,93
野村e科技證券投資信託基金,2021-11-04,68,10
野村e科技證券投資信託基金,2021-11-05,108,12
野村e科技證券投資信託基金,2021-11-06,15,25
野村e科技證券投資信託基金,2021-11-07,21,0
野村e科技證券投資信託基金,2021-11-08,145,71
野村e科技證券投資信託基金,2021-11-09,167,65
野村e科技證券投資信託基金,2021-11-10,154,54
野村e科技證券投資信託基金,2021-11-11,189,56
野村e科技證券投資信託基金,2021-11-12,99,65
野村e科技證券投資信託基金,2021-11-13,8,16
野村e科技證券投資信託基金,2021-11-14,34,40
野村e科技證券投資信託基金,2021-11-15,132,15
野村e科技證券投資信託基金,2021-11-16,97,53
野村e科技證券投資信託基金,2021-11-17,66,59
野村e科技證券投資信託基金,2021-11-18,70,37
野村e科技證券投資信託基金,2021-11-19,138,43
野村e科技證券投資信託基金,2021-11-20,25,2
野村e科技證券投資信託基金,2021-11-21,46,4
野村e科技證券投資信託基金,2021-11-22,115,20
野村e科技證券投資信託基金,2021-11-23,76,37
野村e科技證券投資信託基金,2021-11-24,91,58
野村e科技證券投資信託基金,2021-11-25,140,33
野村e科技證券投資信託基金,2021-11-26,65,20
野村e科技證券投資信託基金,2021-11-27,8,7
野村e科技證券投資信託基金,2021-11-28,16,5
野村e科技證券投資信託基金,2021-11-29,76,20
野村e科技證券投資信託基金,2021-11-30,164,31
野村e科技證券投資信託基金,2021-12-01,68,41
野村e科技證券投資信託基金,2021-12-02,88,19
野村e科技證券投資信託基金,2021-12-03,179,41
野村e科技證券投資信託基金,2021-12-04,13,6
野村e科技證券投資信託基金,2021-12-05,31,5
野村e科技證券投資信託基金,2021-12-06,133,47
野村e科技證券投資信託基金,2021-12-07,127,48
野村e科技證券投資信託基金,2021-12-08,125,56
野村e科技證券投資信託基金,2021-12-09,138,24
野村e科技證券投資信託基金,2021-12-10,116,55
野村e科技證券投資信託基金,2021-12-11,24,2
野村e科技證券投資信託基金,2021-12-12,14,7
野村e科技證券投資信託基金,2021-12-13,126,35
野村e科技證券投資信託基金,2021-12-14,101,65
野村e科技證券投資信託基金,2021-12-15,113,52
野村e科技證券投資信託基金,2021-12-16,127,116
野村e科技證券投資信託基金,2021-12-17,86,22
野村e科技證券投資信託基金,2021-12-18,15,1
野村e科技證券投資信託基金,2021-12-19,47,17
野村e科技證券投資信託基金,2021-12-20,82,54
野村e科技證券投資信託基金,2021-12-21,74,31
野村e科技證券投資信託基金,2021-12-22,90,37
野村e科技證券投資信託基金,2021-12-23,80,14
野村e科技證券投資信託基金,2021-12-24,46,36
野村e科技證券投資信託基金,2021-12-25,17,11
野村e科技證券投資信託基金,2021-12-26,53,25
野村e科技證券投資信託基金,2021-12-27,137,109
野村e科技證券投資信託基金,2021-12-28,177,56
野村e科技證券投資信託基金,2021-12-29,131,29
野村e科技證券投資信託基金,2021-12-30,115,18
野村e科技證券投資信託基金,2021-12-31,40,3
野村e科技證券投資信託基金,2022-01-01,9,12
野村e科技證券投資信託基金,2022-01-02,21,5
野村e科技證券投資信託基金,2022-01-03,184,102
野村e科技證券投資信託基金,2022-01-04,164,59
野村e科技證券投資信託基金,2022-01-05,104,41
野村e科技證券投資信託基金,2022-01-06,126,93
野村e科技證券投資信託基金,2022-01-07,79,68
野村e科技證券投資信託基金,2022-01-08,5,4
野村e科技證券投資信託基金,2022-01-09,32,11
野村e科技證券投資信託基金,2022-01-10,137,70
野村e科技證券投資信託基金,2022-01-11,25,16
野村e科技證券投資信託基金,2022-01-12,99,7
野村e科技證券投資信託基金,2022-01-13,121,71
野村e科技證券投資信託基金,2022-01-14,98,20
野村e科技證券投資信託基金,2022-01-15,17,15
野村e科技證券投資信託基金,2022-01-16,33,12
野村e科技證券投資信託基金,2022-01-17,84,37
野村e科技證券投資信託基金,2022-01-18,126,45
野村e科技證券投資信託基金,2022-01-19,143,74
野村e科技證券投資信託基金,2022-01-20,108,57
野村e科技證券投資信託基金,2022-01-21,142,73
野村e科技證券投資信託基金,2022-01-22,10,3
野村e科技證券投資信託基金,2022-01-23,9,1
野村e科技證券投資信託基金,2022-01-24,120,74
野村e科技證券投資信託基金,2022-01-25,143,62
野村e科技證券投資信託基金,2022-01-26,132,32
野村e科技證券投資信託基金,2022-01-27,44,35
野村e科技證券投資信託基金,2022-01-28,26,11
野村e科技證券投資信託基金,2022-01-30,6,7
野村e科技證券投資信託基金,2022-01-31,5,6
野村e科技證券投資信託基金,2022-02-01,3,3
野村e科技證券投資信託基金,2022-02-02,12,5
野村e科技證券投資信託基金,2022-02-03,6,3
野村e科技證券投資信託基金,2022-02-04,31,13
野村e科技證券投資信託基金,2022-02-05,9,3
野村e科技證券投資信託基金,2022-02-06,50,33
野村e科技證券投資信託基金,2022-02-07,100,13
野村e科技證券投資信託基金,2022-02-08,134,29
野村e科技證券投資信託基金,2022-02-09,104,24
野村e科技證券投資信託基金,2022-02-10,80,28
野村e科技證券投資信託基金,2022-02-11,103,51
野村e科技證券投資信託基金,2022-02-12,1,2
野村e科技證券投資信託基金,2022-02-13,9,11
野村e科技證券投資信託基金,2022-02-14,71,47
野村e科技證券投資信託基金,2022-02-15,166,32
野村e科技證券投資信託基金,2022-02-16,131,25
野村e科技證券投資信託基金,2022-02-17,182,39
野村e科技證券投資信託基金,2022-02-18,99,17
野村e科技證券投資信託基金,2022-02-19,2,0
野村e科技證券投資信託基金,2022-02-20,46,9
野村e科技證券投資信託基金,2022-02-21,91,6
野村e科技證券投資信託基金,2022-02-22,129,17
野村e科技證券投資信託基金,2022-02-23,91,40
野村e科技證券投資信託基金,2022-02-24,130,32
野村e科技證券投資信託基金,2022-02-25,102,65
野村e科技證券投資信託基金,2022-02-26,16,9
野村e科技證券投資信託基金,2022-02-27,3,0
野村e科技證券投資信託基金,2022-02-28,42,14
野村e科技證券投資信託基金,2022-03-01,114,31
野村中小證券投資信託基金,2021-08-19,10,18
野村中小證券投資信託基金,2021-08-20,59,10
野村中小證券投資信託基金,2021-08-21,20,1
野村中小證券投資信託基金,2021-08-22,18,5
野村中小證券投資信託基金,2021-08-23,78,20
野村中小證券投資信託基金,2021-08-24,93,39
野村中小證券投資信託基金,2021-08-25,122,26
野村中小證券投資信託基金,2021-08-26,155,59
野村中小證券投資信託基金,2021-08-27,101,25
野村中小證券投資信託基金,2021-08-28,8,0
野村中小證券投資信託基金,2021-08-29,43,13
野村中小證券投資信託基金,2021-08-30,83,53
野村中小證券投資信託基金,2021-08-31,113,18
野村中小證券投資信託基金,2021-09-01,113,46
野村中小證券投資信託基金,2021-09-02,124,52
野村中小證券投資信託基金,2021-09-03,101,55
野村中小證券投資信託基金,2021-09-04,27,0
野村中小證券投資信託基金,2021-09-05,21,8
野村中小證券投資信託基金,2021-09-06,68,69
野村中小證券投資信託基金,2021-09-07,138,69
野村中小證券投資信託基金,2021-09-08,150,91
野村中小證券投資信託基金,2021-09-09,79,19
野村中小證券投資信託基金,2021-09-10,62,5
野村中小證券投資信託基金,2021-09-11,28,4
野村中小證券投資信託基金,2021-09-12,14,2
野村中小證券投資信託基金,2021-09-13,87,20
野村中小證券投資信託基金,2021-09-14,117,29
野村中小證券投資信託基金,2021-09-15,116,106
野村中小證券投資信託基金,2021-09-16,119,39
野村中小證券投資信託基金,2021-09-17,83,60
野村中小證券投資信託基金,2021-09-18,5,2
野村中小證券投資信託基金,2021-09-19,34,8
野村中小證券投資信託基金,2021-09-20,16,7
野村中小證券投資信託基金,2021-09-21,7,1
野村中小證券投資信託基金,2021-09-22,110,87
野村中小證券投資信託基金,2021-09-23,98,40
野村中小證券投資信託基金,2021-09-24,84,18
野村中小證券投資信託基金,2021-09-25,11,7
野村中小證券投資信託基金,2021-09-26,9,9
野村中小證券投資信託基金,2021-09-27,159,46
野村中小證券投資信託基金,2021-09-28,84,39
野村中小證券投資信託基金,2021-09-29,90,29
野村中小證券投資信託基金,2021-09-30,124,36
野村中小證券投資信託基金,2021-10-01,126,50
野村中小證券投資信託基金,2021-10-02,0,1
野村中小證券投資信託基金,2021-10-03,10,1
野村中小證券投資信託基金,2021-10-04,215,68
野村中小證券投資信託基金,2021-10-05,105,37
野村中小證券投資信託基金,2021-10-06,60,60
野村中小證券投資信託基金,2021-10-07,79,45
野村中小證券投資信託基金,2021-10-08,115,80
野村中小證券投資信託基金,2021-10-09,26,30
野村中小證券投資信託基金,2021-10-10,1,0
野村中小證券投資信託基金,2021-10-11,30,18
野村中小證券投資信託基金,2021-10-12,136,28
野村中小證券投資信託基金,2021-10-13,70,47
野村中小證券投資信託基金,2021-10-14,132,61
野村中小證券投資信託基金,2021-10-15,150,75
野村中小證券投資信託基金,2021-10-16,16,10
野村中小證券投資信託基金,2021-10-17,43,3
野村中小證券投資信託基金,2021-10-18,87,30
野村中小證券投資信託基金,2021-10-19,125,37
野村中小證券投資信託基金,2021-10-20,52,5
野村中小證券投資信託基金,2021-10-21,95,33
野村中小證券投資信託基金,2021-10-22,113,39
野村中小證券投資信託基金,2021-10-24,31,6
野村中小證券投資信託基金,2021-10-25,115,59
野村中小證券投資信託基金,2021-10-26,107,85
野村中小證券投資信託基金,2021-10-27,88,38
野村中小證券投資信託基金,2021-10-28,99,24
野村中小證券投資信託基金,2021-10-29,78,20
野村中小證券投資信託基金,2021-10-30,1,0
野村中小證券投資信託基金,2021-10-31,3,3
野村中小證券投資信託基金,2021-11-01,117,67
野村中小證券投資信託基金,2021-11-02,97,84
野村中小證券投資信託基金,2021-11-03,120,100
野村中小證券投資信託基金,2021-11-04,68,10
野村中小證券投資信託基金,2021-11-05,115,13
野村中小證券投資信託基金,2021-11-06,19,25
野村中小證券投資信託基金,2021-11-07,26,1
野村中小證券投資信託基金,2021-11-08,112,60
野村中小證券投資信託基金,2021-11-09,163,70
野村中小證券投資信託基金,2021-11-10,164,62
野村中小證券投資信託基金,2021-11-11,189,56
野村中小證券投資信託基金,2021-11-12,95,65
野村中小證券投資信託基金,2021-11-13,8,16
野村中小證券投資信託基金,2021-11-14,34,40
野村中小證券投資信託基金,2021-11-15,111,10
野村中小證券投資信託基金,2021-11-16,91,45
野村中小證券投資信託基金,2021-11-17,41,40
野村中小證券投資信託基金,2021-11-18,72,36
野村中小證券投資信託基金,2021-11-19,131,35
野村中小證券投資信託基金,2021-11-20,25,2
野村中小證券投資信託基金,2021-11-21,45,4
野村中小證券投資信託基金,2021-11-22,128,18
野村中小證券投資信託基金,2021-11-23,76,37
野村中小證券投資信託基金,2021-11-24,93,60
野村中小證券投資信託基金,2021-11-25,128,33
野村中小證券投資信託基金,2021-11-26,64,19
野村中小證券投資信託基金,2021-11-27,8,7
野村中小證券投資信託基金,2021-11-28,16,5
野村中小證券投資信託基金,2021-11-29,74,13
野村中小證券投資信託基金,2021-11-30,164,31
野村中小證券投資信託基金,2021-12-01,78,53
野村中小證券投資信託基金,2021-12-02,95,21
野村中小證券投資信託基金,2021-12-03,166,41
野村中小證券投資信託基金,2021-12-04,13,6
野村中小證券投資信託基金,2021-12-05,31,5
野村中小證券投資信託基金,2021-12-06,130,47
野村中小證券投資信託基金,2021-12-07,133,48
野村中小證券投資信託基金,2021-12-08,112,55
野村中小證券投資信託基金,2021-12-09,135,24
野村中小證券投資信託基金,2021-12-10,94,45
野村中小證券投資信託基金,2021-12-11,13,1
野村中小證券投資信託基金,2021-12-12,14,7
野村中小證券投資信託基金,2021-12-13,124,26
野村中小證券投資信託基金,2021-12-14,95,58
野村中小證券投資信託基金,2021-12-15,115,54
野村中小證券投資信託基金,2021-12-16,126,116
野村中小證券投資信託基金,2021-12-17,93,25
野村中小證券投資信託基金,2021-12-18,15,1
野村中小證券投資信託基金,2021-12-19,47,17
野村中小證券投資信託基金,2021-12-20,97,57
野村中小證券投資信託基金,2021-12-21,65,29
野村中小證券投資信託基金,2021-12-22,85,38
野村中小證券投資信託基金,2021-12-23,50,9
野村中小證券投資信託基金,2021-12-24,56,35
野村中小證券投資信託基金,2021-12-25,13,9
野村中小證券投資信託基金,2021-12-26,48,21
野村中小證券投資信託基金,2021-12-27,137,109
野村中小證券投資信託基金,2021-12-28,177,56
野村中小證券投資信託基金,2021-12-29,123,23
野村中小證券投資信託基金,2021-12-30,103,16
野村中小證券投資信託基金,2021-12-31,17,0
野村中小證券投資信託基金,2022-01-01,9,12
野村中小證券投資信託基金,2022-01-02,21,5
野村中小證券投資信託基金,2022-01-03,182,96
野村中小證券投資信託基金,2022-01-04,164,59
野村中小證券投資信託基金,2022-01-05,105,41
野村中小證券投資信託基金,2022-01-06,97,73
野村中小證券投資信託基金,2022-01-07,87,65
野村中小證券投資信託基金,2022-01-08,9,4
野村中小證券投資信託基金,2022-01-09,29,11
野村中小證券投資信託基金,2022-01-10,150,71
野村中小證券投資信託基金,2022-01-11,25,16
野村中小證券投資信託基金,2022-01-12,110,8
野村中小證券投資信託基金,2022-01-13,128,73
野村中小證券投資信託基金,2022-01-14,98,20
野村中小證券投資信託基金,2022-01-15,19,15
野村中小證券投資信託基金,2022-01-16,33,12
野村中小證券投資信託基金,2022-01-17,98,39
野村中小證券投資信託基金,2022-01-18,126,45
野村中小證券投資信託基金,2022-01-19,144,74
野村中小證券投資信託基金,2022-01-20,91,51
野村中小證券投資信託基金,2022-01-21,148,47
野村中小證券投資信託基金,2022-01-22,11,20
野村中小證券投資信託基金,2022-01-23,9,1
野村中小證券投資信託基金,2022-01-24,120,74
野村中小證券投資信託基金,2022-01-25,143,62
野村中小證券投資信託基金,2022-01-26,142,31
野村中小證券投資信託基金,2022-01-27,35,26
野村中小證券投資信託基金,2022-01-28,26,11
野村中小證券投資信託基金,2022-01-30,6,7
野村中小證券投資信託基金,2022-01-31,6,6
野村中小證券投資信託基金,2022-02-01,6,3
野村中小證券投資信託基金,2022-02-02,12,5
野村中小證券投資信託基金,2022-02-03,6,3
野村中小證券投資信託基金,2022-02-04,31,13
野村中小證券投資信託基金,2022-02-05,9,3
野村中小證券投資信託基金,2022-02-06,51,33
野村中小證券投資信託基金,2022-02-07,99,10
野村中小證券投資信託基金,2022-02-08,134,29
野村中小證券投資信託基金,2022-02-09,106,29
野村中小證券投資信託基金,2022-02-10,104,32
野村中小證券投資信託基金,2022-02-11,122,63
野村中小證券投資信託基金,2022-02-12,1,2
野村中小證券投資信託基金,2022-02-13,9,11
野村中小證券投資信託基金,2022-02-14,71,47
野村中小證券投資信託基金,2022-02-15,145,29
野村中小證券投資信託基金,2022-02-16,109,26
野村中小證券投資信託基金,2022-02-17,183,30
野村中小證券投資信託基金,2022-02-18,85,17
野村中小證券投資信託基金,2022-02-19,2,0
野村中小證券投資信託基金,2022-02-20,46,9
野村中小證券投資信託基金,2022-02-21,79,5
野村中小證券投資信託基金,2022-02-22,115,36
野村中小證券投資信託基金,2022-02-23,95,40
野村中小證券投資信託基金,2022-02-24,130,32
野村中小證券投資信託基金,2022-02-25,97,61
野村中小證券投資信託基金,2022-02-26,15,6
野村中小證券投資信託基金,2022-02-27,3,0
野村中小證券投資信託基金,2022-02-28,42,14
野村中小證券投資信託基金,2022-03-01,114,31
野村亞太收益多重資產證券投資信託基金,2021-09-22,8,0
野村亞太收益多重資產證券投資信託基金,2021-09-30,2,0
野村亞太收益多重資產證券投資信託基金,2021-10-05,8,0
野村亞太收益多重資產證券投資信託基金,2021-10-13,1,0
野村亞太收益多重資產證券投資信託基金,2021-10-20,5,0
野村亞太收益多重資產證券投資信託基金,2021-10-29,1,4
野村亞太收益多重資產證券投資信託基金,2021-11-09,0,8
野村亞太收益多重資產證券投資信託基金,2021-11-12,8,2
野村亞太收益多重資產證券投資信託基金,2021-11-16,0,0
野村亞太收益多重資產證券投資信託基金,2021-11-22,2,1
野村亞太收益多重資產證券投資信託基金,2021-12-13,1,0
野村亞太收益多重資產證券投資信託基金,2021-12-17,17,2
野村亞太收益多重資產證券投資信託基金,2021-12-25,5,0
野村亞太收益多重資產證券投資信託基金,2021-12-29,10,4
野村亞太收益多重資產證券投資信託基金,2022-01-13,19,10
野村亞太收益多重資產證券投資信託基金,2022-01-14,23,1
野村亞太收益多重資產證券投資信託基金,2022-02-09,6,5
野村亞太收益多重資產證券投資信託基金,2022-02-14,22,4
野村亞太新興債券證券投資信託基金,2022-01-20,1,1
野村亞太複合高收益債證券投資信託基金,2021-08-23,1,0
野村亞太複合高收益債證券投資信託基金,2021-08-26,10,6
野村亞太複合高收益債證券投資信託基金,2021-08-27,4,0
野村亞太複合高收益債證券投資信託基金,2021-08-30,6,5
野村亞太複合高收益債證券投資信託基金,2021-09-01,17,1
野村亞太複合高收益債證券投資信託基金,2021-09-02,14,0
野村亞太複合高收益債證券投資信託基金,2021-09-03,1,0
野村亞太複合高收益債證券投資信託基金,2021-09-07,13,11
野村亞太複合高收益債證券投資信託基金,2021-09-08,9,43
野村亞太複合高收益債證券投資信託基金,2021-09-09,1,0
野村亞太複合高收益債證券投資信託基金,2021-09-10,3,1
野村亞太複合高收益債證券投資信託基金,2021-09-11,11,3
野村亞太複合高收益債證券投資信託基金,2021-09-17,17,16
野村亞太複合高收益債證券投資信託基金,2021-09-20,12,0
野村亞太複合高收益債證券投資信託基金,2021-09-22,0,0
野村亞太複合高收益債證券投資信託基金,2021-09-29,13,11
野村亞太複合高收益債證券投資信託基金,2021-09-30,16,5
野村亞太複合高收益債證券投資信託基金,2021-10-01,22,0
野村亞太複合高收益債證券投資信託基金,2021-10-04,8,1
野村亞太複合高收益債證券投資信託基金,2021-10-05,5,0
野村亞太複合高收益債證券投資信託基金,2021-10-08,0,1
野村亞太複合高收益債證券投資信託基金,2021-10-11,7,3
野村亞太複合高收益債證券投資信託基金,2021-10-12,16,4
野村亞太複合高收益債證券投資信託基金,2021-10-13,0,0
野村亞太複合高收益債證券投資信託基金,2021-10-19,2,0
野村亞太複合高收益債證券投資信託基金,2021-10-21,6,3
野村亞太複合高收益債證券投資信託基金,2021-10-25,8,12
野村亞太複合高收益債證券投資信託基金,2021-11-01,9,3
野村亞太複合高收益債證券投資信託基金,2021-11-02,14,0
野村亞太複合高收益債證券投資信託基金,2021-11-03,4,1
野村亞太複合高收益債證券投資信託基金,2021-11-05,5,4
野村亞太複合高收益債證券投資信託基金,2021-11-09,19,11
野村亞太複合高收益債證券投資信託基金,2021-11-10,9,10
野村亞太複合高收益債證券投資信託基金,2021-11-19,29,3
野村亞太複合高收益債證券投資信託基金,2021-11-26,2,1
野村亞太複合高收益債證券投資信託基金,2021-12-01,13,1
野村亞太複合高收益債證券投資信託基金,2021-12-02,1,0
野村亞太複合高收益債證券投資信託基金,2021-12-15,3,9
野村亞太複合高收益債證券投資信託基金,2021-12-17,11,0
野村亞太複合高收益債證券投資信託基金,2021-12-20,14,1
野村亞太複合高收益債證券投資信託基金,2021-12-23,2,0
野村亞太複合高收益債證券投資信託基金,2021-12-28,26,2
野村亞太複合高收益債證券投資信託基金,2021-12-30,3,1
野村亞太複合高收益債證券投資信託基金,2022-01-03,9,2
野村亞太複合高收益債證券投資信託基金,2022-01-04,8,0
野村亞太複合高收益債證券投資信託基金,2022-01-06,8,0
野村亞太複合高收益債證券投資信託基金,2022-01-11,5,0
野村亞太複合高收益債證券投資信託基金,2022-01-14,30,5
野村亞太複合高收益債證券投資信託基金,2022-01-20,8,0
野村亞太複合高收益債證券投資信託基金,2022-01-24,37,6
野村亞太複合高收益債證券投資信託基金,2022-01-26,39,6
野村亞太複合高收益債證券投資信託基金,2022-01-27,39,8
野村亞太複合高收益債證券投資信託基金,2022-02-08,0,0
野村亞太複合高收益債證券投資信託基金,2022-02-09,11,5
野村亞太複合高收益債證券投資信託基金,2022-02-10,8,0
野村亞太複合高收益債證券投資信託基金,2022-02-14,3,0
野村亞太複合高收益債證券投資信託基金,2022-02-16,12,0
野村亞太複合高收益債證券投資信託基金,2022-02-22,5,2
野村亞太複合高收益債證券投資信託基金,2022-02-28,21,1
野村亞太高股息證券投資信託基金,2021-08-19,10,18
野村亞太高股息證券投資信託基金,2021-08-20,44,10
野村亞太高股息證券投資信託基金,2021-08-21,20,1
野村亞太高股息證券投資信託基金,2021-08-22,1,1
野村亞太高股息證券投資信託基金,2021-08-23,66,20
野村亞太高股息證券投資信託基金,2021-08-24,89,39
野村亞太高股息證券投資信託基金,2021-08-25,116,19
野村亞太高股息證券投資信託基金,2021-08-26,155,59
野村亞太高股息證券投資信託基金,2021-08-27,101,25
野村亞太高股息證券投資信託基金,2021-08-28,8,0
野村亞太高股息證券投資信託基金,2021-08-29,43,13
野村亞太高股息證券投資信託基金,2021-08-30,82,48
野村亞太高股息證券投資信託基金,2021-08-31,110,17
野村亞太高股息證券投資信託基金,2021-09-01,113,46
野村亞太高股息證券投資信託基金,2021-09-02,117,45
野村亞太高股息證券投資信託基金,2021-09-03,92,45
野村亞太高股息證券投資信託基金,2021-09-04,27,0
野村亞太高股息證券投資信託基金,2021-09-05,21,8
野村亞太高股息證券投資信託基金,2021-09-06,58,68
野村亞太高股息證券投資信託基金,2021-09-07,120,51
野村亞太高股息證券投資信託基金,2021-09-08,104,84
野村亞太高股息證券投資信託基金,2021-09-09,77,19
野村亞太高股息證券投資信託基金,2021-09-10,55,4
野村亞太高股息證券投資信託基金,2021-09-11,26,3
野村亞太高股息證券投資信託基金,2021-09-12,14,2
野村亞太高股息證券投資信託基金,2021-09-13,72,18
野村亞太高股息證券投資信託基金,2021-09-14,103,29
野村亞太高股息證券投資信託基金,2021-09-15,93,74
野村亞太高股息證券投資信託基金,2021-09-16,87,27
野村亞太高股息證券投資信託基金,2021-09-17,82,50
野村亞太高股息證券投資信託基金,2021-09-18,5,2
野村亞太高股息證券投資信託基金,2021-09-19,34,8
野村亞太高股息證券投資信託基金,2021-09-20,16,7
野村亞太高股息證券投資信託基金,2021-09-21,7,1
野村亞太高股息證券投資信託基金,2021-09-22,97,71
野村亞太高股息證券投資信託基金,2021-09-23,87,39
野村亞太高股息證券投資信託基金,2021-09-24,40,7
野村亞太高股息證券投資信託基金,2021-09-25,11,7
野村亞太高股息證券投資信託基金,2021-09-26,9,9
野村亞太高股息證券投資信託基金,2021-09-27,86,36
野村亞太高股息證券投資信託基金,2021-09-28,78,33
野村亞太高股息證券投資信託基金,2021-09-29,71,15
野村亞太高股息證券投資信託基金,2021-09-30,104,35
野村亞太高股息證券投資信託基金,2021-10-01,77,38
野村亞太高股息證券投資信託基金,2021-10-02,0,1
野村亞太高股息證券投資信託基金,2021-10-03,0,0
野村亞太高股息證券投資信託基金,2021-10-04,194,68
野村亞太高股息證券投資信託基金,2021-10-05,85,28
野村亞太高股息證券投資信託基金,2021-10-06,49,51
野村亞太高股息證券投資信託基金,2021-10-07,57,40
野村亞太高股息證券投資信託基金,2021-10-08,72,40
野村亞太高股息證券投資信託基金,2021-10-09,26,29
野村亞太高股息證券投資信託基金,2021-10-10,1,0
野村亞太高股息證券投資信託基金,2021-10-11,30,18
野村亞太高股息證券投資信託基金,2021-10-12,130,25
野村亞太高股息證券投資信託基金,2021-10-13,64,46
野村亞太高股息證券投資信託基金,2021-10-14,132,61
野村亞太高股息證券投資信託基金,2021-10-15,144,60
野村亞太高股息證券投資信託基金,2021-10-16,10,4
野村亞太高股息證券投資信託基金,2021-10-17,43,3
野村亞太高股息證券投資信託基金,2021-10-18,87,30
野村亞太高股息證券投資信託基金,2021-10-19,104,29
野村亞太高股息證券投資信託基金,2021-10-20,42,4
野村亞太高股息證券投資信託基金,2021-10-21,88,29
野村亞太高股息證券投資信託基金,2021-10-22,107,38
野村亞太高股息證券投資信託基金,2021-10-24,31,6
